No,Features,Description
252,var_252_tBodyGyroMag-arCoeff()4,Original features: tBodyGyroMag-arCoeff()4 . (Feature No: 252 )
253,var_253_tBodyGyroJerkMag-mean(),Original features: tBodyGyroJerkMag-mean() . (Feature No: 253 )
254,var_254_tBodyGyroJerkMag-std(),Original features: tBodyGyroJerkMag-std() . (Feature No: 254 )
255,var_255_tBodyGyroJerkMag-mad(),Original features: tBodyGyroJerkMag-mad() . (Feature No: 255 )
256,var_256_tBodyGyroJerkMag-max(),Original features: tBodyGyroJerkMag-max() . (Feature No: 256 )
257,var_257_tBodyGyroJerkMag-min(),Original features: tBodyGyroJerkMag-min() . (Feature No: 257 )
258,var_258_tBodyGyroJerkMag-sma(),Original features: tBodyGyroJerkMag-sma() . (Feature No: 258 )
259,var_259_tBodyGyroJerkMag-energy(),Original features: tBodyGyroJerkMag-energy() . (Feature No: 259 )
260,var_260_tBodyGyroJerkMag-iqr(),Original features: tBodyGyroJerkMag-iqr() . (Feature No: 260 )
261,var_261_tBodyGyroJerkMag-entropy(),Original features: tBodyGyroJerkMag-entropy() . (Feature No: 261 )
262,var_262_tBodyGyroJerkMag-arCoeff()1,Original features: tBodyGyroJerkMag-arCoeff()1 . (Feature No: 262 )
263,var_263_tBodyGyroJerkMag-arCoeff()2,Original features: tBodyGyroJerkMag-arCoeff()2 . (Feature No: 263 )
264,var_264_tBodyGyroJerkMag-arCoeff()3,Original features: tBodyGyroJerkMag-arCoeff()3 . (Feature No: 264 )
265,var_265_tBodyGyroJerkMag-arCoeff()4,Original features: tBodyGyroJerkMag-arCoeff()4 . (Feature No: 265 )
266,var_266_fBodyAcc-mean()-X,Original features: fBodyAcc-mean()-X . (Feature No: 266 )
267,var_267_fBodyAcc-mean()-Y,Original features: fBodyAcc-mean()-Y . (Feature No: 267 )
268,var_268_fBodyAcc-mean()-Z,Original features: fBodyAcc-mean()-Z . (Feature No: 268 )
269,var_269_fBodyAcc-std()-X,Original features: fBodyAcc-std()-X . (Feature No: 269 )
270,var_270_fBodyAcc-std()-Y,Original features: fBodyAcc-std()-Y . (Feature No: 270 )
271,var_271_fBodyAcc-std()-Z,Original features: fBodyAcc-std()-Z . (Feature No: 271 )
272,var_272_fBodyAcc-mad()-X,Original features: fBodyAcc-mad()-X . (Feature No: 272 )
273,var_273_fBodyAcc-mad()-Y,Original features: fBodyAcc-mad()-Y . (Feature No: 273 )
274,var_274_fBodyAcc-mad()-Z,Original features: fBodyAcc-mad()-Z . (Feature No: 274 )
275,var_275_fBodyAcc-max()-X,Original features: fBodyAcc-max()-X . (Feature No: 275 )
276,var_276_fBodyAcc-max()-Y,Original features: fBodyAcc-max()-Y . (Feature No: 276 )
277,var_277_fBodyAcc-max()-Z,Original features: fBodyAcc-max()-Z . (Feature No: 277 )
278,var_278_fBodyAcc-min()-X,Original features: fBodyAcc-min()-X . (Feature No: 278 )
279,var_279_fBodyAcc-min()-Y,Original features: fBodyAcc-min()-Y . (Feature No: 279 )
280,var_280_fBodyAcc-min()-Z,Original features: fBodyAcc-min()-Z . (Feature No: 280 )
281,var_281_fBodyAcc-sma(),Original features: fBodyAcc-sma() . (Feature No: 281 )
282,var_282_fBodyAcc-energy()-X,Original features: fBodyAcc-energy()-X . (Feature No: 282 )
283,var_283_fBodyAcc-energy()-Y,Original features: fBodyAcc-energy()-Y . (Feature No: 283 )
284,var_284_fBodyAcc-energy()-Z,Original features: fBodyAcc-energy()-Z . (Feature No: 284 )
285,var_285_fBodyAcc-iqr()-X,Original features: fBodyAcc-iqr()-X . (Feature No: 285 )
286,var_286_fBodyAcc-iqr()-Y,Original features: fBodyAcc-iqr()-Y . (Feature No: 286 )
287,var_287_fBodyAcc-iqr()-Z,Original features: fBodyAcc-iqr()-Z . (Feature No: 287 )
288,var_288_fBodyAcc-entropy()-X,Original features: fBodyAcc-entropy()-X . (Feature No: 288 )
289,var_289_fBodyAcc-entropy()-Y,Original features: fBodyAcc-entropy()-Y . (Feature No: 289 )
290,var_290_fBodyAcc-entropy()-Z,Original features: fBodyAcc-entropy()-Z . (Feature No: 290 )
291,var_291_fBodyAcc-maxInds-X,Original features: fBodyAcc-maxInds-X . (Feature No: 291 )
292,var_292_fBodyAcc-maxInds-Y,Original features: fBodyAcc-maxInds-Y . (Feature No: 292 )
293,var_293_fBodyAcc-maxInds-Z,Original features: fBodyAcc-maxInds-Z . (Feature No: 293 )
294,var_294_fBodyAcc-meanFreq()-X,Original features: fBodyAcc-meanFreq()-X . (Feature No: 294 )
295,var_295_fBodyAcc-meanFreq()-Y,Original features: fBodyAcc-meanFreq()-Y . (Feature No: 295 )
296,var_296_fBodyAcc-meanFreq()-Z,Original features: fBodyAcc-meanFreq()-Z . (Feature No: 296 )
297,var_297_fBodyAcc-skewness()-X,Original features: fBodyAcc-skewness()-X . (Feature No: 297 )
298,var_298_fBodyAcc-kurtosis()-X,Original features: fBodyAcc-kurtosis()-X . (Feature No: 298 )
299,var_299_fBodyAcc-skewness()-Y,Original features: fBodyAcc-skewness()-Y . (Feature No: 299 )
300,var_300_fBodyAcc-kurtosis()-Y,Original features: fBodyAcc-kurtosis()-Y . (Feature No: 300 )
301,var_301_fBodyAcc-skewness()-Z,Original features: fBodyAcc-skewness()-Z . (Feature No: 301 )
302,var_302_fBodyAcc-kurtosis()-Z,Original features: fBodyAcc-kurtosis()-Z . (Feature No: 302 )
303,"var_303_fBodyAcc-bandsEnergy()-1,8","Original features: fBodyAcc-bandsEnergy()-1,8 . (Feature No: 303 )"
304,"var_304_fBodyAcc-bandsEnergy()-9,16","Original features: fBodyAcc-bandsEnergy()-9,16 . (Feature No: 304 )"
305,"var_305_fBodyAcc-bandsEnergy()-17,24","Original features: fBodyAcc-bandsEnergy()-17,24 . (Feature No: 305 )"
306,"var_306_fBodyAcc-bandsEnergy()-25,32","Original features: fBodyAcc-bandsEnergy()-25,32 . (Feature No: 306 )"
307,"var_307_fBodyAcc-bandsEnergy()-33,40","Original features: fBodyAcc-bandsEnergy()-33,40 . (Feature No: 307 )"
308,"var_308_fBodyAcc-bandsEnergy()-41,48","Original features: fBodyAcc-bandsEnergy()-41,48 . (Feature No: 308 )"
309,"var_309_fBodyAcc-bandsEnergy()-49,56","Original features: fBodyAcc-bandsEnergy()-49,56 . (Feature No: 309 )"
310,"var_310_fBodyAcc-bandsEnergy()-57,64","Original features: fBodyAcc-bandsEnergy()-57,64 . (Feature No: 310 )"
311,"var_311_fBodyAcc-bandsEnergy()-1,16","Original features: fBodyAcc-bandsEnergy()-1,16 . (Feature No: 311 )"
312,"var_312_fBodyAcc-bandsEnergy()-17,32","Original features: fBodyAcc-bandsEnergy()-17,32 . (Feature No: 312 )"
313,"var_313_fBodyAcc-bandsEnergy()-33,48","Original features: fBodyAcc-bandsEnergy()-33,48 . (Feature No: 313 )"
314,"var_314_fBodyAcc-bandsEnergy()-49,64","Original features: fBodyAcc-bandsEnergy()-49,64 . (Feature No: 314 )"
315,"var_315_fBodyAcc-bandsEnergy()-1,24","Original features: fBodyAcc-bandsEnergy()-1,24 . (Feature No: 315 )"
316,"var_316_fBodyAcc-bandsEnergy()-25,48","Original features: fBodyAcc-bandsEnergy()-25,48 . (Feature No: 316 )"
317,"var_317_fBodyAcc-bandsEnergy()-1,8","Original features: fBodyAcc-bandsEnergy()-1,8 . (Feature No: 317 )"
318,"var_318_fBodyAcc-bandsEnergy()-9,16","Original features: fBodyAcc-bandsEnergy()-9,16 . (Feature No: 318 )"
319,"var_319_fBodyAcc-bandsEnergy()-17,24","Original features: fBodyAcc-bandsEnergy()-17,24 . (Feature No: 319 )"
320,"var_320_fBodyAcc-bandsEnergy()-25,32","Original features: fBodyAcc-bandsEnergy()-25,32 . (Feature No: 320 )"
321,"var_321_fBodyAcc-bandsEnergy()-33,40","Original features: fBodyAcc-bandsEnergy()-33,40 . (Feature No: 321 )"
322,"var_322_fBodyAcc-bandsEnergy()-41,48","Original features: fBodyAcc-bandsEnergy()-41,48 . (Feature No: 322 )"
323,"var_323_fBodyAcc-bandsEnergy()-49,56","Original features: fBodyAcc-bandsEnergy()-49,56 . (Feature No: 323 )"
324,"var_324_fBodyAcc-bandsEnergy()-57,64","Original features: fBodyAcc-bandsEnergy()-57,64 . (Feature No: 324 )"
325,"var_325_fBodyAcc-bandsEnergy()-1,16","Original features: fBodyAcc-bandsEnergy()-1,16 . (Feature No: 325 )"
326,"var_326_fBodyAcc-bandsEnergy()-17,32","Original features: fBodyAcc-bandsEnergy()-17,32 . (Feature No: 326 )"
327,"var_327_fBodyAcc-bandsEnergy()-33,48","Original features: fBodyAcc-bandsEnergy()-33,48 . (Feature No: 327 )"
328,"var_328_fBodyAcc-bandsEnergy()-49,64","Original features: fBodyAcc-bandsEnergy()-49,64 . (Feature No: 328 )"
329,"var_329_fBodyAcc-bandsEnergy()-1,24","Original features: fBodyAcc-bandsEnergy()-1,24 . (Feature No: 329 )"
330,"var_330_fBodyAcc-bandsEnergy()-25,48","Original features: fBodyAcc-bandsEnergy()-25,48 . (Feature No: 330 )"
331,"var_331_fBodyAcc-bandsEnergy()-1,8","Original features: fBodyAcc-bandsEnergy()-1,8 . (Feature No: 331 )"
332,"var_332_fBodyAcc-bandsEnergy()-9,16","Original features: fBodyAcc-bandsEnergy()-9,16 . (Feature No: 332 )"
333,"var_333_fBodyAcc-bandsEnergy()-17,24","Original features: fBodyAcc-bandsEnergy()-17,24 . (Feature No: 333 )"
334,"var_334_fBodyAcc-bandsEnergy()-25,32","Original features: fBodyAcc-bandsEnergy()-25,32 . (Feature No: 334 )"
335,"var_335_fBodyAcc-bandsEnergy()-33,40","Original features: fBodyAcc-bandsEnergy()-33,40 . (Feature No: 335 )"
336,"var_336_fBodyAcc-bandsEnergy()-41,48","Original features: fBodyAcc-bandsEnergy()-41,48 . (Feature No: 336 )"
337,"var_337_fBodyAcc-bandsEnergy()-49,56","Original features: fBodyAcc-bandsEnergy()-49,56 . (Feature No: 337 )"
338,"var_338_fBodyAcc-bandsEnergy()-57,64","Original features: fBodyAcc-bandsEnergy()-57,64 . (Feature No: 338 )"
339,"var_339_fBodyAcc-bandsEnergy()-1,16","Original features: fBodyAcc-bandsEnergy()-1,16 . (Feature No: 339 )"
340,"var_340_fBodyAcc-bandsEnergy()-17,32","Original features: fBodyAcc-bandsEnergy()-17,32 . (Feature No: 340 )"
341,"var_341_fBodyAcc-bandsEnergy()-33,48","Original features: fBodyAcc-bandsEnergy()-33,48 . (Feature No: 341 )"
342,"var_342_fBodyAcc-bandsEnergy()-49,64","Original features: fBodyAcc-bandsEnergy()-49,64 . (Feature No: 342 )"
343,"var_343_fBodyAcc-bandsEnergy()-1,24","Original features: fBodyAcc-bandsEnergy()-1,24 . (Feature No: 343 )"
344,"var_344_fBodyAcc-bandsEnergy()-25,48","Original features: fBodyAcc-bandsEnergy()-25,48 . (Feature No: 344 )"
345,var_345_fBodyAccJerk-mean()-X,Original features: fBodyAccJerk-mean()-X . (Feature No: 345 )
346,var_346_fBodyAccJerk-mean()-Y,Original features: fBodyAccJerk-mean()-Y . (Feature No: 346 )
347,var_347_fBodyAccJerk-mean()-Z,Original features: fBodyAccJerk-mean()-Z . (Feature No: 347 )
348,var_348_fBodyAccJerk-std()-X,Original features: fBodyAccJerk-std()-X . (Feature No: 348 )
349,var_349_fBodyAccJerk-std()-Y,Original features: fBodyAccJerk-std()-Y . (Feature No: 349 )
350,var_350_fBodyAccJerk-std()-Z,Original features: fBodyAccJerk-std()-Z . (Feature No: 350 )
351,var_351_fBodyAccJerk-mad()-X,Original features: fBodyAccJerk-mad()-X . (Feature No: 351 )
352,var_352_fBodyAccJerk-mad()-Y,Original features: fBodyAccJerk-mad()-Y . (Feature No: 352 )
353,var_353_fBodyAccJerk-mad()-Z,Original features: fBodyAccJerk-mad()-Z . (Feature No: 353 )
354,var_354_fBodyAccJerk-max()-X,Original features: fBodyAccJerk-max()-X . (Feature No: 354 )
355,var_355_fBodyAccJerk-max()-Y,Original features: fBodyAccJerk-max()-Y . (Feature No: 355 )
356,var_356_fBodyAccJerk-max()-Z,Original features: fBodyAccJerk-max()-Z . (Feature No: 356 )
357,var_357_fBodyAccJerk-min()-X,Original features: fBodyAccJerk-min()-X . (Feature No: 357 )
358,var_358_fBodyAccJerk-min()-Y,Original features: fBodyAccJerk-min()-Y . (Feature No: 358 )
359,var_359_fBodyAccJerk-min()-Z,Original features: fBodyAccJerk-min()-Z . (Feature No: 359 )
360,var_360_fBodyAccJerk-sma(),Original features: fBodyAccJerk-sma() . (Feature No: 360 )
361,var_361_fBodyAccJerk-energy()-X,Original features: fBodyAccJerk-energy()-X . (Feature No: 361 )
362,var_362_fBodyAccJerk-energy()-Y,Original features: fBodyAccJerk-energy()-Y . (Feature No: 362 )
363,var_363_fBodyAccJerk-energy()-Z,Original features: fBodyAccJerk-energy()-Z . (Feature No: 363 )
364,var_364_fBodyAccJerk-iqr()-X,Original features: fBodyAccJerk-iqr()-X . (Feature No: 364 )
365,var_365_fBodyAccJerk-iqr()-Y,Original features: fBodyAccJerk-iqr()-Y . (Feature No: 365 )
366,var_366_fBodyAccJerk-iqr()-Z,Original features: fBodyAccJerk-iqr()-Z . (Feature No: 366 )
367,var_367_fBodyAccJerk-entropy()-X,Original features: fBodyAccJerk-entropy()-X . (Feature No: 367 )
368,var_368_fBodyAccJerk-entropy()-Y,Original features: fBodyAccJerk-entropy()-Y . (Feature No: 368 )
369,var_369_fBodyAccJerk-entropy()-Z,Original features: fBodyAccJerk-entropy()-Z . (Feature No: 369 )
370,var_370_fBodyAccJerk-maxInds-X,Original features: fBodyAccJerk-maxInds-X . (Feature No: 370 )
371,var_371_fBodyAccJerk-maxInds-Y,Original features: fBodyAccJerk-maxInds-Y . (Feature No: 371 )
372,var_372_fBodyAccJerk-maxInds-Z,Original features: fBodyAccJerk-maxInds-Z . (Feature No: 372 )
373,var_373_fBodyAccJerk-meanFreq()-X,Original features: fBodyAccJerk-meanFreq()-X . (Feature No: 373 )
374,var_374_fBodyAccJerk-meanFreq()-Y,Original features: fBodyAccJerk-meanFreq()-Y . (Feature No: 374 )
375,var_375_fBodyAccJerk-meanFreq()-Z,Original features: fBodyAccJerk-meanFreq()-Z . (Feature No: 375 )
376,var_376_fBodyAccJerk-skewness()-X,Original features: fBodyAccJerk-skewness()-X . (Feature No: 376 )
377,var_377_fBodyAccJerk-kurtosis()-X,Original features: fBodyAccJerk-kurtosis()-X . (Feature No: 377 )
378,var_378_fBodyAccJerk-skewness()-Y,Original features: fBodyAccJerk-skewness()-Y . (Feature No: 378 )
379,var_379_fBodyAccJerk-kurtosis()-Y,Original features: fBodyAccJerk-kurtosis()-Y . (Feature No: 379 )
380,var_380_fBodyAccJerk-skewness()-Z,Original features: fBodyAccJerk-skewness()-Z . (Feature No: 380 )
381,var_381_fBodyAccJerk-kurtosis()-Z,Original features: fBodyAccJerk-kurtosis()-Z . (Feature No: 381 )
382,"var_382_fBodyAccJerk-bandsEnergy()-1,8","Original features: fBodyAccJerk-bandsEnergy()-1,8 . (Feature No: 382 )"
383,"var_383_fBodyAccJerk-bandsEnergy()-9,16","Original features: fBodyAccJerk-bandsEnergy()-9,16 . (Feature No: 383 )"
384,"var_384_fBodyAccJerk-bandsEnergy()-17,24","Original features: fBodyAccJerk-bandsEnergy()-17,24 . (Feature No: 384 )"
385,"var_385_fBodyAccJerk-bandsEnergy()-25,32","Original features: fBodyAccJerk-bandsEnergy()-25,32 . (Feature No: 385 )"
386,"var_386_fBodyAccJerk-bandsEnergy()-33,40","Original features: fBodyAccJerk-bandsEnergy()-33,40 . (Feature No: 386 )"
387,"var_387_fBodyAccJerk-bandsEnergy()-41,48","Original features: fBodyAccJerk-bandsEnergy()-41,48 . (Feature No: 387 )"
388,"var_388_fBodyAccJerk-bandsEnergy()-49,56","Original features: fBodyAccJerk-bandsEnergy()-49,56 . (Feature No: 388 )"
389,"var_389_fBodyAccJerk-bandsEnergy()-57,64","Original features: fBodyAccJerk-bandsEnergy()-57,64 . (Feature No: 389 )"
390,"var_390_fBodyAccJerk-bandsEnergy()-1,16","Original features: fBodyAccJerk-bandsEnergy()-1,16 . (Feature No: 390 )"
391,"var_391_fBodyAccJerk-bandsEnergy()-17,32","Original features: fBodyAccJerk-bandsEnergy()-17,32 . (Feature No: 391 )"
392,"var_392_fBodyAccJerk-bandsEnergy()-33,48","Original features: fBodyAccJerk-bandsEnergy()-33,48 . (Feature No: 392 )"
393,"var_393_fBodyAccJerk-bandsEnergy()-49,64","Original features: fBodyAccJerk-bandsEnergy()-49,64 . (Feature No: 393 )"
394,"var_394_fBodyAccJerk-bandsEnergy()-1,24","Original features: fBodyAccJerk-bandsEnergy()-1,24 . (Feature No: 394 )"
395,"var_395_fBodyAccJerk-bandsEnergy()-25,48","Original features: fBodyAccJerk-bandsEnergy()-25,48 . (Feature No: 395 )"
396,"var_396_fBodyAccJerk-bandsEnergy()-1,8","Original features: fBodyAccJerk-bandsEnergy()-1,8 . (Feature No: 396 )"
397,"var_397_fBodyAccJerk-bandsEnergy()-9,16","Original features: fBodyAccJerk-bandsEnergy()-9,16 . (Feature No: 397 )"
398,"var_398_fBodyAccJerk-bandsEnergy()-17,24","Original features: fBodyAccJerk-bandsEnergy()-17,24 . (Feature No: 398 )"
399,"var_399_fBodyAccJerk-bandsEnergy()-25,32","Original features: fBodyAccJerk-bandsEnergy()-25,32 . (Feature No: 399 )"
400,"var_400_fBodyAccJerk-bandsEnergy()-33,40","Original features: fBodyAccJerk-bandsEnergy()-33,40 . (Feature No: 400 )"
401,"var_401_fBodyAccJerk-bandsEnergy()-41,48","Original features: fBodyAccJerk-bandsEnergy()-41,48 . (Feature No: 401 )"
402,"var_402_fBodyAccJerk-bandsEnergy()-49,56","Original features: fBodyAccJerk-bandsEnergy()-49,56 . (Feature No: 402 )"
403,"var_403_fBodyAccJerk-bandsEnergy()-57,64","Original features: fBodyAccJerk-bandsEnergy()-57,64 . (Feature No: 403 )"
404,"var_404_fBodyAccJerk-bandsEnergy()-1,16","Original features: fBodyAccJerk-bandsEnergy()-1,16 . (Feature No: 404 )"
405,"var_405_fBodyAccJerk-bandsEnergy()-17,32","Original features: fBodyAccJerk-bandsEnergy()-17,32 . (Feature No: 405 )"
406,"var_406_fBodyAccJerk-bandsEnergy()-33,48","Original features: fBodyAccJerk-bandsEnergy()-33,48 . (Feature No: 406 )"
407,"var_407_fBodyAccJerk-bandsEnergy()-49,64","Original features: fBodyAccJerk-bandsEnergy()-49,64 . (Feature No: 407 )"
408,"var_408_fBodyAccJerk-bandsEnergy()-1,24","Original features: fBodyAccJerk-bandsEnergy()-1,24 . (Feature No: 408 )"
409,"var_409_fBodyAccJerk-bandsEnergy()-25,48","Original features: fBodyAccJerk-bandsEnergy()-25,48 . (Feature No: 409 )"
410,"var_410_fBodyAccJerk-bandsEnergy()-1,8","Original features: fBodyAccJerk-bandsEnergy()-1,8 . (Feature No: 410 )"
411,"var_411_fBodyAccJerk-bandsEnergy()-9,16","Original features: fBodyAccJerk-bandsEnergy()-9,16 . (Feature No: 411 )"
412,"var_412_fBodyAccJerk-bandsEnergy()-17,24","Original features: fBodyAccJerk-bandsEnergy()-17,24 . (Feature No: 412 )"
413,"var_413_fBodyAccJerk-bandsEnergy()-25,32","Original features: fBodyAccJerk-bandsEnergy()-25,32 . (Feature No: 413 )"
414,"var_414_fBodyAccJerk-bandsEnergy()-33,40","Original features: fBodyAccJerk-bandsEnergy()-33,40 . (Feature No: 414 )"
415,"var_415_fBodyAccJerk-bandsEnergy()-41,48","Original features: fBodyAccJerk-bandsEnergy()-41,48 . (Feature No: 415 )"
416,"var_416_fBodyAccJerk-bandsEnergy()-49,56","Original features: fBodyAccJerk-bandsEnergy()-49,56 . (Feature No: 416 )"
417,"var_417_fBodyAccJerk-bandsEnergy()-57,64","Original features: fBodyAccJerk-bandsEnergy()-57,64 . (Feature No: 417 )"
418,"var_418_fBodyAccJerk-bandsEnergy()-1,16","Original features: fBodyAccJerk-bandsEnergy()-1,16 . (Feature No: 418 )"
419,"var_419_fBodyAccJerk-bandsEnergy()-17,32","Original features: fBodyAccJerk-bandsEnergy()-17,32 . (Feature No: 419 )"
420,"var_420_fBodyAccJerk-bandsEnergy()-33,48","Original features: fBodyAccJerk-bandsEnergy()-33,48 . (Feature No: 420 )"
421,"var_421_fBodyAccJerk-bandsEnergy()-49,64","Original features: fBodyAccJerk-bandsEnergy()-49,64 . (Feature No: 421 )"
422,"var_422_fBodyAccJerk-bandsEnergy()-1,24","Original features: fBodyAccJerk-bandsEnergy()-1,24 . (Feature No: 422 )"
423,"var_423_fBodyAccJerk-bandsEnergy()-25,48","Original features: fBodyAccJerk-bandsEnergy()-25,48 . (Feature No: 423 )"
424,var_424_fBodyGyro-mean()-X,Original features: fBodyGyro-mean()-X . (Feature No: 424 )
425,var_425_fBodyGyro-mean()-Y,Original features: fBodyGyro-mean()-Y . (Feature No: 425 )
426,var_426_fBodyGyro-mean()-Z,Original features: fBodyGyro-mean()-Z . (Feature No: 426 )
427,var_427_fBodyGyro-std()-X,Original features: fBodyGyro-std()-X . (Feature No: 427 )
428,var_428_fBodyGyro-std()-Y,Original features: fBodyGyro-std()-Y . (Feature No: 428 )
429,var_429_fBodyGyro-std()-Z,Original features: fBodyGyro-std()-Z . (Feature No: 429 )
430,var_430_fBodyGyro-mad()-X,Original features: fBodyGyro-mad()-X . (Feature No: 430 )
431,var_431_fBodyGyro-mad()-Y,Original features: fBodyGyro-mad()-Y . (Feature No: 431 )
432,var_432_fBodyGyro-mad()-Z,Original features: fBodyGyro-mad()-Z . (Feature No: 432 )
433,var_433_fBodyGyro-max()-X,Original features: fBodyGyro-max()-X . (Feature No: 433 )
434,var_434_fBodyGyro-max()-Y,Original features: fBodyGyro-max()-Y . (Feature No: 434 )
435,var_435_fBodyGyro-max()-Z,Original features: fBodyGyro-max()-Z . (Feature No: 435 )
436,var_436_fBodyGyro-min()-X,Original features: fBodyGyro-min()-X . (Feature No: 436 )
437,var_437_fBodyGyro-min()-Y,Original features: fBodyGyro-min()-Y . (Feature No: 437 )
438,var_438_fBodyGyro-min()-Z,Original features: fBodyGyro-min()-Z . (Feature No: 438 )
439,var_439_fBodyGyro-sma(),Original features: fBodyGyro-sma() . (Feature No: 439 )
440,var_440_fBodyGyro-energy()-X,Original features: fBodyGyro-energy()-X . (Feature No: 440 )
441,var_441_fBodyGyro-energy()-Y,Original features: fBodyGyro-energy()-Y . (Feature No: 441 )
442,var_442_fBodyGyro-energy()-Z,Original features: fBodyGyro-energy()-Z . (Feature No: 442 )
443,var_443_fBodyGyro-iqr()-X,Original features: fBodyGyro-iqr()-X . (Feature No: 443 )
444,var_444_fBodyGyro-iqr()-Y,Original features: fBodyGyro-iqr()-Y . (Feature No: 444 )
445,var_445_fBodyGyro-iqr()-Z,Original features: fBodyGyro-iqr()-Z . (Feature No: 445 )
446,var_446_fBodyGyro-entropy()-X,Original features: fBodyGyro-entropy()-X . (Feature No: 446 )
447,var_447_fBodyGyro-entropy()-Y,Original features: fBodyGyro-entropy()-Y . (Feature No: 447 )
448,var_448_fBodyGyro-entropy()-Z,Original features: fBodyGyro-entropy()-Z . (Feature No: 448 )
449,var_449_fBodyGyro-maxInds-X,Original features: fBodyGyro-maxInds-X . (Feature No: 449 )
450,var_450_fBodyGyro-maxInds-Y,Original features: fBodyGyro-maxInds-Y . (Feature No: 450 )
451,var_451_fBodyGyro-maxInds-Z,Original features: fBodyGyro-maxInds-Z . (Feature No: 451 )
452,var_452_fBodyGyro-meanFreq()-X,Original features: fBodyGyro-meanFreq()-X . (Feature No: 452 )
453,var_453_fBodyGyro-meanFreq()-Y,Original features: fBodyGyro-meanFreq()-Y . (Feature No: 453 )
454,var_454_fBodyGyro-meanFreq()-Z,Original features: fBodyGyro-meanFreq()-Z . (Feature No: 454 )
455,var_455_fBodyGyro-skewness()-X,Original features: fBodyGyro-skewness()-X . (Feature No: 455 )
456,var_456_fBodyGyro-kurtosis()-X,Original features: fBodyGyro-kurtosis()-X . (Feature No: 456 )
457,var_457_fBodyGyro-skewness()-Y,Original features: fBodyGyro-skewness()-Y . (Feature No: 457 )
458,var_458_fBodyGyro-kurtosis()-Y,Original features: fBodyGyro-kurtosis()-Y . (Feature No: 458 )
459,var_459_fBodyGyro-skewness()-Z,Original features: fBodyGyro-skewness()-Z . (Feature No: 459 )
460,var_460_fBodyGyro-kurtosis()-Z,Original features: fBodyGyro-kurtosis()-Z . (Feature No: 460 )
461,"var_461_fBodyGyro-bandsEnergy()-1,8","Original features: fBodyGyro-bandsEnergy()-1,8 . (Feature No: 461 )"
462,"var_462_fBodyGyro-bandsEnergy()-9,16","Original features: fBodyGyro-bandsEnergy()-9,16 . (Feature No: 462 )"
463,"var_463_fBodyGyro-bandsEnergy()-17,24","Original features: fBodyGyro-bandsEnergy()-17,24 . (Feature No: 463 )"
464,"var_464_fBodyGyro-bandsEnergy()-25,32","Original features: fBodyGyro-bandsEnergy()-25,32 . (Feature No: 464 )"
465,"var_465_fBodyGyro-bandsEnergy()-33,40","Original features: fBodyGyro-bandsEnergy()-33,40 . (Feature No: 465 )"
466,"var_466_fBodyGyro-bandsEnergy()-41,48","Original features: fBodyGyro-bandsEnergy()-41,48 . (Feature No: 466 )"
467,"var_467_fBodyGyro-bandsEnergy()-49,56","Original features: fBodyGyro-bandsEnergy()-49,56 . (Feature No: 467 )"
468,"var_468_fBodyGyro-bandsEnergy()-57,64","Original features: fBodyGyro-bandsEnergy()-57,64 . (Feature No: 468 )"
469,"var_469_fBodyGyro-bandsEnergy()-1,16","Original features: fBodyGyro-bandsEnergy()-1,16 . (Feature No: 469 )"
470,"var_470_fBodyGyro-bandsEnergy()-17,32","Original features: fBodyGyro-bandsEnergy()-17,32 . (Feature No: 470 )"
471,"var_471_fBodyGyro-bandsEnergy()-33,48","Original features: fBodyGyro-bandsEnergy()-33,48 . (Feature No: 471 )"
472,"var_472_fBodyGyro-bandsEnergy()-49,64","Original features: fBodyGyro-bandsEnergy()-49,64 . (Feature No: 472 )"
473,"var_473_fBodyGyro-bandsEnergy()-1,24","Original features: fBodyGyro-bandsEnergy()-1,24 . (Feature No: 473 )"
474,"var_474_fBodyGyro-bandsEnergy()-25,48","Original features: fBodyGyro-bandsEnergy()-25,48 . (Feature No: 474 )"
475,"var_475_fBodyGyro-bandsEnergy()-1,8","Original features: fBodyGyro-bandsEnergy()-1,8 . (Feature No: 475 )"
476,"var_476_fBodyGyro-bandsEnergy()-9,16","Original features: fBodyGyro-bandsEnergy()-9,16 . (Feature No: 476 )"
477,"var_477_fBodyGyro-bandsEnergy()-17,24","Original features: fBodyGyro-bandsEnergy()-17,24 . (Feature No: 477 )"
478,"var_478_fBodyGyro-bandsEnergy()-25,32","Original features: fBodyGyro-bandsEnergy()-25,32 . (Feature No: 478 )"
479,"var_479_fBodyGyro-bandsEnergy()-33,40","Original features: fBodyGyro-bandsEnergy()-33,40 . (Feature No: 479 )"
480,"var_480_fBodyGyro-bandsEnergy()-41,48","Original features: fBodyGyro-bandsEnergy()-41,48 . (Feature No: 480 )"
481,"var_481_fBodyGyro-bandsEnergy()-49,56","Original features: fBodyGyro-bandsEnergy()-49,56 . (Feature No: 481 )"
482,"var_482_fBodyGyro-bandsEnergy()-57,64","Original features: fBodyGyro-bandsEnergy()-57,64 . (Feature No: 482 )"
483,"var_483_fBodyGyro-bandsEnergy()-1,16","Original features: fBodyGyro-bandsEnergy()-1,16 . (Feature No: 483 )"
484,"var_484_fBodyGyro-bandsEnergy()-17,32","Original features: fBodyGyro-bandsEnergy()-17,32 . (Feature No: 484 )"
